Nomor Asset Utama;Profit Center;Profit Center Text;Cost Center Baru;Deskripsi Cost Center Baru;Nama Cabang/Kawasan;Kode Plant;Periode/Bulan;Tahun Buku;Nomor Asset Asal;Nomor Asset;Sub-number;GL Account Aset;Asset Class;Asset Class Name;Deskripsi Kelompok Aset;Deskripsi Status Aset Tetap;Asset Main No. Text;Akuisisi;Keterangan Asset;Tgl Akusisi;Tgl Perolehan;Tgl Mulai Penyusutan;Masa Manfaat;Sisa Manfaat Aset;Nilai Perolehan Awal Tahun;Nilai Residu %;Nilai Residu Rp;Nilai Perolehan s.d Tahun Berjalan;Adjusment Nilai Perolehan;Nilai Buku Awal Tahun;Nilai Buku s.d Tahun Berjalan;Penyusutan/Bulan;Penyusutan s.d Bulan Berjalan;Penyusutan Tahun Lalu;Penyusutan/Tahun;Akumulasi Penyusutan Tahun Lalu;Adjusment Akm Penyusutan;Penghapusan;Asset Shutdown;Akumulasi Penyusutan;Additional Description;Serial number;Alamat;GL Account Exp. Depre.
120505000074-0;12206;KALIMAS;1220601111;GM Kalimas Penp Roro;Terminal Kalimas;1024;12;2025;;120505000074;0;1205010500;120505;Instalasi Faspel;Bak Reservoir Air Kotor;Aset Tetap Pemilikan Langsung;B/328641776;0;Bak Sewage Treatment Plant;04/09/2015;04/09/2015;04/10/2015;300;177;345.574.949;2,00000000000;6.911.499;345.574.949;0;220.269.472;206.722.934;-1.128.878;-13.546.538;-125.305.477;-13.546.538;-125.305.477;0;0;;-138.852.015;214.01.008031106781067800;;Terminal Penumpang Modern;5040201040
120505000075-0;12206;KALIMAS;1220601111;GM Kalimas Penp Roro;Terminal Kalimas;1024;12;2025;;120505000075;0;1205010500;120505;Instalasi Faspel;Jaringan Kabel Listrik;Aset Tetap Pemilikan Langsung;B/1030407996;0;Instalasi Listrik Terminal Penumpang Modern;04/09/2015;04/09/2015;04/10/2015;480;357;1.083.499.470;5,00000000000;54.174.974;1.083.499.470;0;690.622.564;669.925.081;-1.724.791;-20.697.483;-392.876.906;-20.697.483;-392.876.906;0;0;;-413.574.389;214.02.008034106811068100;;Terminal Penumpang Modern;5040201040
120505000077-0;12206;KALIMAS;1220601111;GM Kalimas Penp Roro;Terminal Kalimas;1024;12;2025;;120505000077;0;1205010500;120505;Instalasi Faspel;Jaringan Fiber Optic/LAN/WAN;Aset Tetap Pemilikan Langsung;B/73258310;0;Pekerjaan Kabel Data/LAN;04/09/2015;04/09/2015;04/10/2015;240;117;77.032.924;2,00000000000;1.540.658;77.032.924;0;49.100.783;44.676.585;-368.683;-4.424.198;-27.932.141;-4.424.198;-27.932.141;0;0;;-32.356.339;214.04.008036106831068300;;Terminal Penumpang Modern;5040201040
120505000078-0;12206;KALIMAS;1220601111;GM Kalimas Penp Roro;Terminal Kalimas;1024;12;2025;;120505000078;0;1205010500;120505;Instalasi Faspel;Jaringan Fiber Optic/LAN/WAN;Aset Tetap Pemilikan Langsung;B/81869526;0;Instalasi MATV;04/09/2015;04/09/2015;04/10/2015;240;117;86.087.830;2,00000000000;1.721.757;86.087.830;0;54.872.382;49.928.138;-412.020;-4.944.244;-31.215.448;-4.944.244;-31.215.448;0;0;;-36.159.692;214.03.008038106851068500;;Terminal Penumpang Modern;5040201040
120505000079-0;12206;KALIMAS;1220601111;GM Kalimas Penp Roro;Terminal Kalimas;1024;12;2025;;120505000079;0;1205010500;120505;Instalasi Faspel;Panel Kontrol & Proteksi;Aset Tetap Pemilikan Langsung;B/173906903;0;Outdoor 50,60Hz/R410A/Cooling Only/Multi V WATER I;04/09/2015;04/09/2015;04/10/2015;120;0;198.184.505;2,00000000000;3.963.690;198.184.505;0;18.530.251;3.963.690;0;-14.566.561;-179.654.254;-14.566.561;-179.654.254;0;0;;-194.220.815;214.02.008039106861068600;;Terminal Penumpang Modern;5040201040
120505000080-0;12206;KALIMAS;1220601111;GM Kalimas Penp Roro;Terminal Kalimas;1024;12;2025;;120505000080;0;1205010500;120505;Instalasi Faspel;Panel Kontrol & Proteksi;Aset Tetap Pemilikan Langsung;B/265100363;0;Outdoor 50,60Hz/R410A/Cooling Only/Multi V WATER I;04/09/2015;04/09/2015;04/10/2015;120;0;302.108.676;2,00000000000;6.042.174;302.108.676;0;28.247.162;6.042.174;0;-22.204.988;-273.861.514;-22.204.988;-273.861.514;0;0;;-296.066.502;214.02.008040106871068700;;Terminal Penumpang Modern;5040201040
120505000081-0;12205;JAMRUD;1220502311;Pelayanan Terminal;Terminal Jamrud;1022;12;2025;;120505000081;0;1205010500;120505;Instalasi Faspel;Jaringan Kabel Listrik;Aset Tetap Pemilikan Langsung;B/469367045;0;Instalasi AC;04/09/2015;04/09/2015;04/10/2015;480;357;534.891.220;5,00000000000;26.744.561;534.891.220;0;50.012.329;49.255.654;-63.056;-756.675;-484.878.891;-756.675;-484.878.891;0;0;;-485.635.566;214.02.008041106881068800;;Terminal Penumpang Modern;5040201040
120505000082-0;12206;KALIMAS;1220601111;GM Kalimas Penp Roro;Terminal Kalimas;1024;12;2025;;120505000082;0;1205010500;120505;Instalasi Faspel;Jaringan Air Bersih;Aset Tetap Pemilikan Langsung;B/272745285;0;Instalasi Plumbing;04/09/2015;04/09/2015;04/10/2015;360;237;286.798.407;2,00000000000;5.735.968;286.798.407;0;182.805.304;174.271.842;-711.122;-8.533.462;-103.993.103;-8.533.462;-103.993.103;0;0;;-112.526.565;214.01.008042106891068900;;Terminal Penumpang Modern;5040201040
120505000083-0;12206;KALIMAS;1220601111;GM Kalimas Penp Roro;Terminal Kalimas;1024;12;2025;;120505000083;0;1205010500;120505;Instalasi Faspel;Jaringan Air Bersih;Aset Tetap Pemilikan Langsung;B/189298063;0;Instalasi Pipa Transfer Air Bersih Main line & Ris;04/09/2015;04/09/2015;04/10/2015;360;237;199.051.591;2,00000000000;3.981.032;199.051.591;0;126.875.486;120.952.862;-493.552;-5.922.624;-72.176.105;-5.922.624;-72.176.105;0;0;;-78.098.729;214.01.008043106901069000;;Terminal Penumpang Modern;5040201040
120505000084-0;12206;KALIMAS;1220601111;GM Kalimas Penp Roro;Terminal Kalimas;1024;12;2025;;120505000084;0;1205010500;120505;Instalasi Faspel;Jaringan Hydrant;Aset Tetap Pemilikan Langsung;B/221361328;0;Fire Hydrant;04/09/2015;04/09/2015;04/10/2015;300;177;232.766.907;2,00000000000;4.655.338;232.766.907;0;148.365.624;139.241.161;-760.372;-9.124.463;-84.401.283;-9.124.463;-84.401.283;0;0;;-93.525.746;214.01.008044106911069100;;Terminal Penumpang Modern;5040201040
120505000085-0;12206;KALIMAS;1220601111;GM Kalimas Penp Roro;Terminal Kalimas;1024;12;2025;;120505000085;0;1205010500;120505;Instalasi Faspel;Jaringan Fiber Optic/LAN/WAN;Aset Tetap Pemilikan Langsung;B/2278114745;0;Perangkat dan Sistem Terminal Penumpang Modern;04/09/2015;04/09/2015;04/10/2015;240;117;2.395.493.949;2,00000000000;47.909.879;2.395.493.949;0;1.526.887.841;1.389.308.496;-11.464.945;-137.579.345;-868.606.108;-137.579.345;-868.606.108;0;0;;-1.006.185.453;214.04.008045106921069200;;Terminal Penumpang Modern;5040201040
120505000086-0;12206;KALIMAS;1220601111;GM Kalimas Penp Roro;Terminal Kalimas;1024;12;2025;;120505000086;0;1205010500;120505;Instalasi Faspel;Jaringan Fiber Optic/LAN/WAN;Aset Tetap Pemilikan Langsung;B/324480943;0;Perangkat dan Sistem Parkir Terminal Penumpang Mod;04/09/2015;04/09/2015;04/10/2015;240;117;341.199.729;2,00000000000;6.823.995;341.199.729;0;217.480.710;197.884.737;-1.632.997;-19.595.973;-123.719.019;-19.595.973;-123.719.019;0;0;;-143.314.992;214.04.008046106931069300;;Terminal Penumpang Modern;5040201040
120505000087-0;12206;KALIMAS;1220601111;GM Kalimas Penp Roro;Terminal Kalimas;1024;12;2025;;120505000087;0;1205010500;120505;Instalasi Faspel;Jaringan Fiber Optic/LAN/WAN;Aset Tetap Pemilikan Langsung;B/718083900;0;Perangkat dan Sistem Boarding Terminal Penumpang M;04/09/2015;04/09/2015;04/10/2015;240;117;755.082.965;2,00000000000;15.101.659;755.082.965;0;481.289.884;437.923.537;-3.613.863;-43.366.347;-273.793.081;-43.366.347;-273.793.081;0;0;;-317.159.428;214.04.008047106941069400;;Terminal Penumpang Modern;5040201040
120505000088-0;12206;KALIMAS;1220601111;GM Kalimas Penp Roro;Terminal Kalimas;1024;12;2025;;120505000088;0;1205010500;120505;Instalasi Faspel;Jaringan Fiber Optic/LAN/WAN;Aset Tetap Pemilikan Langsung;B/171168173;0;Perangkat dan Sistem Schedule Kapal Terminal Penum;04/09/2015;04/09/2015;04/10/2015;240;117;179.987.564;2,00000000000;3.599.751;179.987.564;0;114.724.073;104.386.927;-861.429;-10.337.146;-65.263.491;-10.337.146;-65.263.491;0;0;;-75.600.637;214.04.008048106951069500;;Terminal Penumpang Modern;5040201040
120505000089-0;12206;KALIMAS;1220601111;GM Kalimas Penp Roro;Terminal Kalimas;1024;12;2025;;120505000089;0;1205010500;120505;Instalasi Faspel;Jaringan Fiber Optic/LAN/WAN;Aset Tetap Pemilikan Langsung;B/224498002;0;Radar/Antena;04/09/2015;04/09/2015;04/10/2015;240;117;255.838.179;2,00000000000;5.116.764;255.838.179;0;23.920.870;22.171.651;-145.768;-1.749.219;-231.917.309;-1.749.219;-231.917.309;0;0;;-233.666.528;214.03.008049106961069600;;Terminal Penumpang Modern;5040201040
120505000090-0;12206;KALIMAS;1220601111;GM Kalimas Penp Roro;Terminal Kalimas;1024;12;2025;;120505000090;0;1205010500;120505;Instalasi Faspel;Jaringan Fiber Optic/LAN/WAN;Aset Tetap Pemilikan Langsung;B/1961915937;0;Jaringan dan Display Terminal Penumpang Modern;04/09/2015;04/09/2015;04/10/2015;240;117;2.063.003.088;2,00000000000;41.260.062;2.063.003.088;0;1.314.958.169;1.196.474.624;-9.873.629;-118.483.545;-748.044.919;-118.483.545;-748.044.919;0;0;;-866.528.464;214.04.008050106971069700;;Terminal Penumpang Modern;5040201040
120505000091-0;12201;REGION JATIM;1220101111;CEO Reg Jawa Timur;Sub Regional Jawa Timur;1020;12;2025;;120505000091;0;1205010500;120505;Instalasi Faspel;Reefer Plug;Aset Tetap Pemilikan Langsung;B/1969028581;0;Refer Plug lengkap instalasi listriknya;28/12/2015;28/12/2015;28/01/2016;300;181;2.049.363.636;2,00000000000;40.987.273;2.049.363.636;0;1.326.348.145;1.246.013.090;-6.694.588;-80.335.055;-723.015.491;-80.335.055;-723.015.491;0;0;;-803.350.546;214.02.008055107021070200;;Terminal Nilam Pelabuhan Tanjung Perak;5040201040
120505000092-0;12201;REGION JATIM;1220105511;SubDiv of Prprty&Oth;Sub Regional Jawa Timur;1020;12;2025;;120505000092;0;1205010500;120505;Instalasi Faspel;Jaringan Kabel Listrik;Aset Tetap Pemilikan Langsung;B/2;0;Inst.Listrik/Jaringan Tegangan Rendah.;01/01/1962;01/01/1962;01/02/1962;480;0;314.413;0,00000000000;2;314.413;0;2;2;0;0;-314.411;0;-314.411;0;0;;-314.411;214.02.008081071107100;;Gardu Induk Slt Kalimas Br;5040201040
120505000093-0;12205;JAMRUD;1220502311;Pelayanan Terminal;Terminal Jamrud;1022;12;2025;;120505000093;0;1205010500;120505;Instalasi Faspel;Jaringan Kabel Listrik;Aset Tetap Pemilikan Langsung;B/1;0;Instalasi Listrik/ Jaring-2 Tr.;01/01/1975;01/01/1975;01/02/1975;300;0;288.719;0,00000000000;1;288.719;0;1;1;0;0;-288.718;0;-288.718;0;0;;-288.718;214.02.008091072107200;;Gardu 37 Jl.Jamrud Utara.;5040201040
120505000094-0;12201;REGION JATIM;1220105511;SubDiv of Prprty&Oth;Sub Regional Jawa Timur;1020;12;2025;;120505000094;0;1205010500;120505;Instalasi Faspel;Jaringan Kabel Listrik;Aset Tetap Pemilikan Langsung;B/1;0;Instalasi Listrik/ Jaring-2 Tr.;01/01/1977;01/01/1977;01/02/1977;300;0;118.625;0,00000000000;1;118.625;0;1;1;0;0;-118.624;0;-118.624;0;0;;-118.624;214.02.008111075107500;;Gardu 40 Prapat Kurung Utr;5040201040
120505000095-0;12205;JAMRUD;1220504711;Perencanaan dan Adm;Terminal Jamrud;1022;12;2025;;120505000095;0;1205010500;120505;Instalasi Faspel;Jaringan Kabel Listrik;Aset Tetap Pemilikan Langsung;B/33716;0;Instalasi Listrik/ Jaring-2 Tr.;31/12/1998;31/12/1998;31/01/1999;480;157;116.575;2,00000000000;2.332;116.575;0;2.332;2.332;0;0;-114.243;0;-114.243;0;0;;-114.243;214.02.008121076107600;;Gardu 24 Jl.Nilam Barat.;5040201040
120505000096-0;12201;REGION JATIM;1220105511;SubDiv of Prprty&Oth;Sub Regional Jawa Timur;1020;12;2025;;120505000096;0;1205010500;120505;Instalasi Faspel;Jaringan Kabel Listrik;Aset Tetap Pemilikan Langsung;B/1;0;Instalasi Listrik/ Instalasi Tt/Tr.;01/01/1962;01/01/1962;01/02/1962;300;0;1.414.722;0,00000000000;1;1.414.722;0;1;1;0;0;-1.414.721;0;-1.414.721;0;0;;-1.414.721;214.02.008131078107800;;Gardu Selatan Kalimas Baru;5040201040
120505000097-0;12201;REGION JATIM;1220105211;SubDiv Prcn&Pgendali;Sub Regional Jawa Timur;1020;12;2025;;120505000097;0;1205010500;120505;Instalasi Faspel;Instalasi Listrik Dan Peralata;Aset Tetap Pemilikan Langsung;B/944623942;0;Mesin Bantu Generator KT BIMA VI;26/06/2015;26/06/2015;26/07/2015;120;0;0;2,00000000000;0;0;0;0;0;0;0;0;0;0;0;0;;0;214.02.007863105091050900;;Pelabuhan Cabang Tanjung Perak;5040201040
120505000098-0;12201;REGION JATIM;1220106311;Sd Pralatan & Instal;Sub Regional Jawa Timur;1020;12;2025;;120505000098;0;1205010500;120505;Instalasi Faspel;Jaringan Kabel Listrik;Aset Tetap Pemilikan Langsung;B/1;0;Instalasi Listrik/Trafo Distribusi.;01/01/1977;01/01/1977;01/02/1977;300;0;2.108.904;0,00000000000;1;2.108.904;0;1;1;0;0;-2.108.903;0;-2.108.903;0;0;;-2.108.903;214.02.008061051105100;;Gardu 40 Hal.Kantor Tehnik;5040201040
120505000099-0;12201;REGION JATIM;1220105211;SubDiv Prcn&Pgendali;Sub Regional Jawa Timur;1020;12;2025;;120505000099;0;1205010500;120505;Instalasi Faspel;Instalasi Listrik Dan Peralata;Aset Tetap Pemilikan Langsung;B/672405176;0;Mesin Bantu Generator KT JAYENGRONO;26/06/2015;26/06/2015;26/07/2015;120;0;0;2,00000000000;0;0;0;0;0;0;0;0;0;0;0;0;;0;214.02.007864105101051000;;Pelabuhan Cabang Tanjung Perak;5040201040
120505000100-0;12201;REGION JATIM;1220106311;Sd Pralatan & Instal;Sub Regional Jawa Timur;1020;12;2025;;120505000100;0;1205010500;120505;Instalasi Faspel;Jaringan Kabel Listrik;Aset Tetap Pemilikan Langsung;B/1;0;Instalasi Listrik/Trafo Distribusi.;01/01/1976;01/01/1976;01/02/1976;300;0;414.248;0,00000000000;1;414.248;0;1;1;0;0;-414.247;0;-414.247;0;0;;-414.247;214.02.008071052105200;;Gardu Hal.Kantor Dv.Tehnik;5040201040
120505000101-0;12201;REGION JATIM;1220101111;CEO Reg Jawa Timur;Sub Regional Jawa Timur;1020;12;2025;;120505000101;0;1205010500;120505;Instalasi Faspel;Panel Kontrol & Proteksi;Aset Tetap Pemilikan Langsung;B/278242150;0;Incomer dari SUTM 20 KV;11/11/2015;11/11/2015;11/12/2015;300;180;311.290.864;2,00000000000;6.225.817;311.290.864;0;34.190.113;32.433.194;-146.410;-1.756.919;-277.100.751;-1.756.919;-277.100.751;0;0;;-278.857.670;214.02.007990106371063700;;Terminal Nilam Multipurpose Cabang Tg Perak;5040201040
120505000102-0;12201;REGION JATIM;1220101111;CEO Reg Jawa Timur;Sub Regional Jawa Timur;1020;12;2025;;120505000102;0;1205010500;120505;Instalasi Faspel;Panel Kontrol & Proteksi;Aset Tetap Pemilikan Langsung;B/241905071;0;outgoing to Transformator 20 KV/6.6 KV (TR-1);11/11/2015;11/11/2015;11/12/2015;300;180;270.637.783;2,00000000000;5.412.756;270.637.783;0;29.725.050;28.197.576;-127.290;-1.527.474;-240.912.733;-1.527.474;-240.912.733;0;0;;-242.440.207;214.02.007991106381063800;;Terminal Nilam Multipurpose Cabang Tg Perak;5040201040
120505000103-0;12201;REGION JATIM;1220101111;CEO Reg Jawa Timur;Sub Regional Jawa Timur;1020;12;2025;;120505000103;0;1205010500;120505;Instalasi Faspel;Panel Kontrol & Proteksi;Aset Tetap Pemilikan Langsung;B/244108224;0;outgoing to Transformator 20 KV/4 KV (TR-3);11/11/2015;11/11/2015;11/12/2015;300;180;273.102.619;2,00000000000;5.462.052;273.102.619;0;29.995.770;28.454.385;-128.448;-1.541.385;-243.106.849;-1.541.385;-243.106.849;0;0;;-244.648.234;214.02.007992106391063900;;Terminal Nilam Multipurpose Cabang Tg Perak;5040201040
120505000104-0;12201;REGION JATIM;1220101111;CEO Reg Jawa Timur;Sub Regional Jawa Timur;1020;12;2025;;120505000104;0;1205010500;120505;Instalasi Faspel;Panel Kontrol & Proteksi;Aset Tetap Pemilikan Langsung;B/278242150;0;Incoming from Transformator Genset 0.4 KV/20 KV (T;11/11/2015;11/11/2015;11/12/2015;300;180;311.290.864;2,00000000000;6.225.817;311.290.864;0;34.190.113;32.433.194;-146.410;-1.756.919;-277.100.751;-1.756.919;-277.100.751;0;0;;-278.857.670;214.02.007993106401064000;;Terminal Nilam Multipurpose Cabang Tg Perak;5040201040
120505000105-0;12201;REGION JATIM;1220101111;CEO Reg Jawa Timur;Sub Regional Jawa Timur;1020;12;2025;;120505000105;0;1205010500;120505;Instalasi Faspel;Panel Kontrol & Proteksi;Aset Tetap Pemilikan Langsung;B/154973113;0;Bus Metering;11/11/2015;11/11/2015;11/12/2015;300;180;173.380.324;2,00000000000;3.467.606;173.380.324;0;19.042.938;18.064.383;-81.546;-978.555;-154.337.386;-978.555;-154.337.386;0;0;;-155.315.941;214.02.007994106411064100;;Terminal Nilam Multipurpose Cabang Tg Perak;5040201040
120505000106-0;12201;REGION JATIM;1220101111;CEO Reg Jawa Timur;Sub Regional Jawa Timur;1020;12;2025;;120505000106;0;1205010500;120505;Instalasi Faspel;Panel Kontrol & Proteksi;Aset Tetap Pemilikan Langsung;B/262975719;0;Incoming from Transformator 20 KV/6.6 KV;11/11/2015;11/11/2015;11/12/2015;300;180;294.211.134;2,00000000000;5.884.223;294.211.134;0;32.314.190;30.653.669;-138.376;-1.660.521;-261.896.944;-1.660.521;-261.896.944;0;0;;-263.557.465;214.02.007995106421064200;;Terminal Nilam Multipurpose Cabang Tg Perak;5040201040
120505000107-0;12201;REGION JATIM;1220101111;CEO Reg Jawa Timur;Sub Regional Jawa Timur;1020;12;2025;;120505000107;0;1205010500;120505;Instalasi Faspel;Panel Kontrol & Proteksi;Aset Tetap Pemilikan Langsung;B/262203521;0;Outgoing to Container Crane 1;11/11/2015;11/11/2015;11/12/2015;300;180;293.347.217;2,00000000000;5.866.944;293.347.217;0;32.219.303;30.563.657;-137.971;-1.655.646;-261.127.914;-1.655.646;-261.127.914;0;0;;-262.783.560;214.02.007996106431064300;;Terminal Nilam Multipurpose Cabang Tg Perak;5040201040
120505000108-0;12201;REGION JATIM;1220101111;CEO Reg Jawa Timur;Sub Regional Jawa Timur;1020;12;2025;;120505000108;0;1205010500;120505;Instalasi Faspel;Panel Kontrol & Proteksi;Aset Tetap Pemilikan Langsung;B/262203521;0;Outgoing to Container Crane 2;11/11/2015;11/11/2015;11/12/2015;300;180;293.347.217;2,00000000000;5.866.944;293.347.217;0;32.219.303;30.563.657;-137.971;-1.655.646;-261.127.914;-1.655.646;-261.127.914;0;0;;-262.783.560;214.02.007997106441064400;;Terminal Nilam Multipurpose Cabang Tg Perak;5040201040
120505000109-0;12201;REGION JATIM;1220101111;CEO Reg Jawa Timur;Sub Regional Jawa Timur;1020;12;2025;;120505000109;0;1205010500;120505;Instalasi Faspel;Panel Kontrol & Proteksi;Aset Tetap Pemilikan Langsung;B/82482017;0;Low Voltage Main Distribution Panel (LVMDP);11/11/2015;11/11/2015;11/12/2015;300;180;92.278.968;2,00000000000;1.845.579;92.278.968;0;10.135.306;9.614.485;-43.402;-520.821;-82.143.662;-520.821;-82.143.662;0;0;;-82.664.483;214.02.007998106451064500;;Terminal Nilam Multipurpose Cabang Tg Perak;5040201040
120505000110-0;12201;REGION JATIM;1220101111;CEO Reg Jawa Timur;Sub Regional Jawa Timur;1020;12;2025;;120505000110;0;1205010500;120505;Instalasi Faspel;Panel Kontrol & Proteksi;Aset Tetap Pemilikan Langsung;B/82482017;0;Panel Kontrol Generator (PKG);11/11/2015;11/11/2015;11/12/2015;300;180;92.278.968;2,00000000000;1.845.579;92.278.968;0;10.135.306;9.614.485;-43.402;-520.821;-82.143.662;-520.821;-82.143.662;0;0;;-82.664.483;214.02.007999106461064600;;Terminal Nilam Multipurpose Cabang Tg Perak;5040201040
120505000111-0;12201;REGION JATIM;1220101111;CEO Reg Jawa Timur;Sub Regional Jawa Timur;1020;12;2025;;120505000111;0;1205010500;120505;Instalasi Faspel;Trafo Distribusi 20 kV/380 V;Aset Tetap Pemilikan Langsung;B/372949847;0;Transformator untuk CC (TR-1);11/11/2015;11/11/2015;11/12/2015;480;360;417.247.638;5,00000000000;20.862.382;417.247.638;0;45.827.699;45.020.195;-67.292;-807.504;-371.419.939;-807.504;-371.419.939;0;0;;-372.227.443;214.02.008000106471064700;;Terminal Nilam Multipurpose Cabang Tg Perak;5040201040
120505000112-0;12201;REGION JATIM;1220101111;CEO Reg Jawa Timur;Sub Regional Jawa Timur;1020;12;2025;;120505000112;0;1205010500;120505;Instalasi Faspel;Trafo Distribusi 20 kV/380 V;Aset Tetap Pemilikan Langsung;B/222825466;0;Transformator untuk Genset (TR-2);11/11/2015;11/11/2015;11/12/2015;480;360;249.291.962;5,00000000000;12.464.598;249.291.962;0;27.380.567;26.898.110;-40.205;-482.457;-221.911.395;-482.457;-221.911.395;0;0;;-222.393.852;214.02.008001106481064800;;Terminal Nilam Multipurpose Cabang Tg Perak;5040201040
120505000113-0;12201;REGION JATIM;1220101111;CEO Reg Jawa Timur;Sub Regional Jawa Timur;1020;12;2025;;120505000113;0;1205010500;120505;Instalasi Faspel;Trafo Distribusi 20 kV/380 V;Aset Tetap Pemilikan Langsung;B/86470070;0;Transformator untuk Utilitas (TR-3);11/11/2015;11/11/2015;11/12/2015;480;360;96.740.708;5,00000000000;4.837.035;96.740.708;0;10.625.354;10.438.131;-15.602;-187.223;-86.115.354;-187.223;-86.115.354;0;0;;-86.302.577;214.02.008002106491064900;;Terminal Nilam Multipurpose Cabang Tg Perak;5040201040
120505000114-0;12201;REGION JATIM;1220101111;CEO Reg Jawa Timur;Sub Regional Jawa Timur;1020;12;2025;;120505000114;0;1205010500;120505;Instalasi Faspel;Capacitor Bank;Aset Tetap Pemilikan Langsung;B/50751421;0;NGR, 3 phase, 100 A, 6.6 KV (TR-1);11/11/2015;11/11/2015;11/12/2015;300;180;56.779.512;2,00000000000;1.135.590;56.779.512;0;6.236.283;5.915.821;-26.705;-320.462;-50.543.229;-320.462;-50.543.229;0;0;;-50.863.691;214.02.008003106501065000;;Terminal Nilam Multipurpose Cabang Tg Perak;5040201040
120505000115-0;12205;JAMRUD;1220504711;Perencanaan dan Adm;Terminal Jamrud;1022;12;2025;;120505000115;0;1205010500;120505;Instalasi Faspel;Backup Genset (Diesel Engine);Aset Tetap Pemilikan Langsung;B/47830847;0;Genzet 250 Dan Instalasinya;01/02/1997;01/02/1997;01/03/1997;240;0;220.000.000;2,00000000000;4.400.000;220.000.000;0;4.400.000;4.400.000;0;0;-215.600.000;0;-215.600.000;0;0;;-215.600.000;214.02.009711871187100;;Gapura Surya;5040201040
120505000116-1;12205;JAMRUD;1220504711;Perencanaan dan Adm;Sub Regional Jawa Timur;1020;12;2025;120505000175;120505000116;1;1205010500;120505;Instalasi Faspel;Jaringan Kabel Listrik;Aset Tetap Pemilikan Langsung;120505000175-0;0;Pengemb.Tegangan Menengah 20 Kv;01/05/1993;01/05/1993;01/06/1993;480;89;0;0,00000000000;0;194.940.000;0;0;0;0;0;0;0;-194.940.000;0;0;;-194.940.000;214.02.009071307130700;;;5040201040
120505000116-0;12201;REGION JATIM;1220106311;Sd Pralatan & Instal;Sub Regional Jawa Timur;1020;12;2025;;120505000116;0;1205010500;120505;Instalasi Faspel;Trafo Distribusi 20 kV/380 V;Aset Tetap Pemilikan Langsung;120505000175-0;0;Sutm 20 Kv Prapat Kurung;01/01/1998;01/01/1998;01/02/1998;480;145;103.733.636;2,00000000000;2.074.673;103.733.636;0;2.074.673;2.074.673;0;0;-101.658.963;0;-101.658.963;0;0;;-101.658.963;214.02.009871911191100;;0;5040201040
120505000119-0;12201;REGION JATIM;1220104111;Deputy Manager TI;Sub Regional Jawa Timur;1020;12;2025;;120505000119;0;1205010500;120505;Instalasi Faspel;Jaringan Fiber Optic/LAN/WAN;Aset Tetap Pemilikan Langsung;B/1226618178;0;Jaringan Broadband Aplikasi Spiner dan Gen-C;28/04/2016;28/04/2016;28/05/2016;240;125;1.259.534.000;2,00000000000;25.190.680;1.259.534.000;0;831.628.314;760.472.052;-5.929.689;-71.156.262;-427.905.686;-71.156.262;-427.905.686;0;0;;-499.061.948;214.04.008187108351083500;;Tg Perak;5040201040
120505000120-0;12201;REGION JATIM;1220105511;SubDiv of Prprty&Oth;Sub Regional Jawa Timur;1020;12;2025;;120505000120;0;1205010500;120505;Instalasi Faspel;Jaringan Kabel Listrik;Aset Tetap Pemilikan Langsung;B/1;0;Instalasi Listrik/ Instalasi Tt/Tr.;01/01/1962;01/01/1962;01/02/1962;300;0;118.918;0,00000000000;1;118.918;0;1;1;0;0;-118.917;0;-118.917;0;0;;-118.917;214.02.008151084108400;;Gardu 7 Jl.Perak Barat.;5040201040
120505000121-0;12205;JAMRUD;1220504711;Perencanaan dan Adm;Terminal Jamrud;1022;12;2025;;120505000121;0;1205010500;120505;Instalasi Faspel;Jaringan Kabel Listrik;Aset Tetap Pemilikan Langsung;B/1;0;Instalasi Listrik/ Instalasi Tt/Tr.;01/01/1962;01/01/1962;01/02/1962;300;0;205.032;0,00000000000;1;205.032;0;1;1;0;0;-205.031;0;-205.031;0;0;;-205.031;214.02.008161089108900;;Gardu 19 Jl.Nilam Timur.;5040201040
120505000122-0;12201;REGION JATIM;1220105511;SubDiv of Prprty&Oth;Sub Regional Jawa Timur;1020;12;2025;;120505000122;0;1205010500;120505;Instalasi Faspel;Jaringan Kabel Listrik;Aset Tetap Pemilikan Langsung;B/1;0;Instalasi Listrik/ Instalasi Tt/Tr.;01/01/1962;01/01/1962;01/02/1962;300;0;221.434;0,00000000000;1;221.434;0;1;1;0;0;-221.433;0;-221.433;0;0;;-221.433;214.02.008171091109100;;Gardu 25 Prapat Kurung Utr;5040201040
120505000123-0;12201;REGION JATIM;1220101111;CEO Reg Jawa Timur;Sub Regional Jawa Timur;1020;12;2025;;120505000123;0;1205010500;120505;Instalasi Faspel;Jaringan Kabel Listrik;Aset Tetap Pemilikan Langsung;B/20393216735;0;Instalasi Listrik HMC;15/12/2016;15/12/2016;15/01/2017;480;373;20.393.216.735;5,00000000000;1.019.660.837;20.393.216.735;0;13.997.903.967;13.592.333.869;-33.797.508;-405.570.098;-6.395.312.768;-405.570.098;-6.395.312.768;0;0;;-6.800.882.866;214.02.008269109171091700;;Terminal Jamrud;5040201040
