Nomor Asset Utama;Profit Center;Profit Center Text;Cost Center Baru;Deskripsi Cost Center Baru;Nama Cabang/Kawasan;Kode Plant;Periode/Bulan;Tahun Buku;Nomor Asset Asal;Nomor Asset;Sub-number;GL Account Aset;Asset Class;Asset Class Name;Deskripsi Kelompok Aset;Deskripsi Status Aset Tetap;Asset Main No. Text;Akuisisi;Keterangan Asset;Tgl Akusisi;Tgl Perolehan;Tgl Mulai Penyusutan;Masa Manfaat;Sisa Manfaat Aset;Nilai Perolehan Awal Tahun;Nilai Residu %;Nilai Residu Rp;Nilai Perolehan s.d Tahun Berjalan;Adjusment Nilai Perolehan;Nilai Buku Awal Tahun;Nilai Buku s.d Tahun Berjalan;Penyusutan/Bulan;Penyusutan s.d Bulan Berjalan;Penyusutan Tahun Lalu;Penyusutan/Tahun;Akumulasi Penyusutan Tahun Lalu;Adjusment Akm Penyusutan;Penghapusan;Asset Shutdown;Akumulasi Penyusutan;Additional Description;Serial number;Alamat;GL Account Exp. Depre.
120502004524-0;12210;KALIANGET;1221002111;Pelayanan Kapal;Terminal Kalianget;1032;12;2025;;120502004524;0;1205010200;120502;Bangunan Fasipel;Bangunan Terminal Penumpang;Aset Tetap Pemilikan Langsung;A/34742267;0;Terminal Penumpang;01/04/1993;01/04/1993;01/06/1993;600;209;79.900.000;0,00000000000;1.598.000;79.900.000;0;18.074.046;17.179.419;-74.552;-894.627;-61.825.954;-894.627;-61.825.954;0;0;;-62.720.581;211.12.002497575700;;Kalianget;5040201010
120502004525-3;12302;TANJUNG EMAS;1230202211;Pelayanan Kapal;Terminal Tanjung Emas;1061;12;2025;;120502004525;3;1205010200;120502;Bangunan Fasipel;Dermaga Kayu/Besi/Ponton;Aset Tetap Pemilikan Langsung;A/308720514;0;Kade Sional Gd Payung;01/01/1936;01/01/1936;01/07/1966;120;0;12.566.209;0,00000000000;1;12.566.209;0;1;1;0;0;-12.566.208;0;-12.566.208;0;0;;-12.566.208;211.06.00258999699600;;Gudang Payung;5040201010
120502004525-1;12302;TANJUNG EMAS;1230202311;Pelayanan Terminal;Terminal Tanjung Emas;1061;12;2025;;120502004525;1;1205010200;120502;Bangunan Fasipel;Dermaga Kayu/Besi/Ponton;Aset Tetap Pemilikan Langsung;A/308720514;0;Kade Beton Pengerukan/Syahbandar;01/01/1975;01/01/1975;01/09/1974;120;0;24.486.290;0,00000000000;489.726;24.486.290;0;489.726;489.726;0;0;-23.996.564;0;-23.996.564;0;0;;-23.996.564;211.06.0025951003100300;;Pelabuhan Dalam;5040201010
120502004525-0;12302;TANJUNG EMAS;1230202211;Pelayanan Kapal;Terminal Tanjung Emas;1061;12;2025;;120502004525;0;1205010200;120502;Bangunan Fasipel;Dermaga Kayu/Besi/Ponton;Aset Tetap Pemilikan Langsung;A/308720514;0;Tambatan Sebelah Barat;01/01/1978;01/01/1978;01/09/1977;120;0;80.697.014;0,00000000000;1.613.940;80.697.014;0;5.831.704;1.613.940;0;-4.217.764;-74.865.310;-4.217.764;-74.865.310;0;0;;-79.083.074;211.06.00257597397300;;Kbb;5040201010
120502004525-4;12302;TANJUNG EMAS;1230202211;Pelayanan Kapal;Terminal Tanjung Emas;1061;12;2025;;120502004525;4;1205010200;120502;Bangunan Fasipel;Talud/Dinding Penahan Tanah;Aset Tetap Pemilikan Langsung;A/308720514;0;Talud Darat;01/10/1995;01/10/1995;01/08/1995;600;235;277.885.452;0,00000000000;1.000.000;277.885.452;0;117.665.963;111.997.981;-472.332;-5.667.982;-160.219.489;-5.667.982;-160.219.489;0;0;;-165.887.471;211.06.0028041564156400;;K B B;5040201010
120502004525-5;12302;TANJUNG EMAS;1230202211;Pelayanan Kapal;Terminal Tanjung Emas;1061;12;2025;;120502004525;5;1205010200;120502;Bangunan Fasipel;Talud/Dinding Penahan Tanah;Aset Tetap Pemilikan Langsung;A/308720514;0;Talud;31/12/2000;31/12/2000;01/11/2000;600;298;174.966.000;0,00000000000;1.000.000;174.966.000;0;92.090.437;88.564.356;-293.840;-3.526.081;-82.875.563;-3.526.081;-82.875.563;0;0;;-86.401.644;211.06.0028561694169400;;Tanjung Emas Semarang;5040201010
120502004525-2;12302;TANJUNG EMAS;1230202311;Pelayanan Terminal;Terminal Tanjung Emas;1061;12;2025;;120502004525;2;1205010200;120502;Bangunan Fasipel;Dermaga Kayu/Besi/Ponton;Aset Tetap Pemilikan Langsung;A/308720514;0;Kade Gudang Payung;01/01/2014;01/01/2014;01/07/1966;120;0;32.328.498;0,00000000000;1;32.328.498;0;1;1;0;0;-32.328.497;0;-32.328.497;0;0;;-32.328.497;211.06.0025961004100400;;Pelabuhan Dalam;5040201010
120502004526-5;12302;TANJUNG EMAS;1230202211;Pelayanan Kapal;Terminal Tanjung Emas;1061;12;2025;120502004536;120502004526;5;1205010200;120502;Bangunan Fasipel;Dermaga;Aset Tetap Pemilikan Langsung;120502005183-0;0;Peninggian Dermaga Ex.PLTU;31/12/2005;31/12/1905;01/12/2005;600;359;0;0,00000000000;16.853.752;842.687.591;0;0;510.977.665;-1.376.390;-6.881.949;0;-6.881.949;-324.827.977;0;0;;-331.709.926;211.03.0028897197719700;;;5040201010
120502004526-0;12302;TANJUNG EMAS;1230202311;Pelayanan Terminal;Terminal Tanjung Emas;1061;12;2025;;120502004526;0;1205010200;120502;Bangunan Fasipel;Dermaga Konstruksi Beton;Aset Tetap Pemilikan Langsung;120502005183-0;0;Dermaga Nusantara;01/01/1970;01/01/1970;01/10/1969;600;0;517.796.398;0,00000000000;10.355.928;517.796.398;0;10.355.928;10.355.928;0;0;-507.440.470;0;-507.440.470;0;0;;-507.440.470;211.03.00258198598500;;Pelabuhan Semarang;5040201010
120502004526-1;12302;TANJUNG EMAS;1230202311;Pelayanan Terminal;Terminal Tanjung Emas;1061;12;2025;125121000260;120502004526;1;1205010200;120502;Bangunan Fasipel;Dermaga Konstruksi Beton;Aset Tetap Pemilikan Langsung;120502005183-0;0;Peninggian Area Dermaga Nusantara ( Penumpukan Log;28/12/2023;01/01/1970;05/05/2022;600;556;3.247.676.779;2,00000000000;64.953.536;3.247.676.779;0;3.131.341.327;3.066.558.486;-5.398.570;-64.782.841;-116.335.452;-64.782.841;-116.335.452;0;0;;-181.118.293;BA.283/TT.05.01/PB/REG3-2022 PO : 4500000254;;;5040201010
120502004526-2;12302;TANJUNG EMAS;1230202311;Pelayanan Terminal;Terminal Tanjung Emas;1061;12;2025;125121000260;120502004526;2;1205010200;120502;Bangunan Fasipel;Dermaga Konstruksi Beton;Aset Tetap Pemilikan Langsung;120502005183-0;0;Pekerjaan Dinding Linning Dermaga Nusantara;28/12/2023;01/01/1970;05/05/2022;600;556;1.722.484.067;2,00000000000;34.449.681;1.722.484.067;0;1.660.782.742;1.626.423.593;-2.863.262;-34.359.149;-61.701.325;-34.359.149;-61.701.325;0;0;;-96.060.474;BA.283/TT.05.01/PB/REG3-2022 PO : 4500000254;;;5040201010
120502004526-4;12302;TANJUNG EMAS;1230202311;Pelayanan Terminal;Terminal Tanjung Emas;1061;12;2025;120502004536;120502004526;4;1205010200;120502;Bangunan Fasipel;Dermaga;Aset Tetap Pemilikan Langsung;120502005183-0;0;Dermaga Nusantara Iv;01/12/1995;01/12/1995;01/10/1995;600;237;0;0,00000000000;62.653.260;3.132.663.000;0;0;1.275.307.107;-5.116.683;-25.583.415;0;-25.583.415;-1.831.772.478;0;0;;-1.857.355.893;211.03.0028101571157100;;;5040201010
120502004526-6;12302;TANJUNG EMAS;1230202311;Pelayanan Terminal;Terminal Tanjung Emas;1061;12;2025;120502005183;120502004526;6;1205010200;120502;Bangunan Fasipel;Dermaga Konstruksi Beton;Aset Tetap Pemilikan Langsung;120502005183-0;0;Peninggian Dermaga;31/12/2013;31/12/2013;01/01/2014;600;456;0;0,00000000000;0;6.521.818.374;0;0;0;0;0;0;0;-6.521.818.374;0;0;;-6.521.818.374;211.03.00P07548P1027PP102700;;;5040201010
120502004526-3;12302;TANJUNG EMAS;1230202311;Pelayanan Terminal;Terminal Tanjung Emas;1061;12;2025;125121000937;120502004526;3;1205010200;120502;Bangunan Fasipel;Talud/Dinding Penahan Tanah;Aset Tetap Pemilikan Langsung;120502005183-0;0;Perbaikan & Peninggian Lining Dermaga Nusantara;05/09/2024;31/05/2024;30/06/2024;600;582;5.271.915.180;0,00000000000;1.000.000;5.271.915.180;0;5.211.639.616;5.106.196.656;-8.786.913;-105.442.960;-60.275.564;-105.442.960;-60.275.564;0;0;;-165.718.524;I/1.19.41.20509.01  NWA: 510004167;;;5040201010
120502004527-0;12302;TANJUNG EMAS;1230202211;Pelayanan Kapal;Terminal Tanjung Emas;1061;12;2025;;120502004527;0;1205010200;120502;Bangunan Fasipel;Dermaga Kayu/Besi/Ponton;Aset Tetap Pemilikan Langsung;PD.05.01/21/3/5/D4.3/D4/RJWA-25 PO: 7000000176;0;Kade Kbt Dan Kbb;01/01/1980;01/01/1980;01/09/1979;120;0;281.140.850;0,00000000000;5.622.817;281.140.850;0;31.337.833;5.622.817;0;-25.715.016;-249.803.017;-25.715.016;-249.803.017;0;0;;-275.518.033;211.03.00258398998900;;Pelabuhan Semarang;5040201010
120502004527-1;12302;TANJUNG EMAS;1230202211;Pelayanan Kapal;Terminal Tanjung Emas;1061;12;2025;125121000260;120502004527;1;1205010200;120502;Bangunan Fasipel;Dermaga Kayu/Besi/Ponton;Aset Tetap Pemilikan Langsung;PD.05.01/21/3/5/D4.3/D4/RJWA-25 PO: 7000000176;0;Pekerjaan Dinding Linning Kalibaru Barat;28/12/2023;01/01/1980;05/05/2022;120;76;569.536.159;2,00000000000;11.390.723;569.536.159;0;549.134.730;475.806.002;-6.110.727;-73.328.728;-20.401.429;-73.328.728;-20.401.429;0;0;;-93.730.157;BA.283/TT.05.01/PB/REG3-2022 PO : 4500000254;;;5040201010
